1,james,bond,007,3b87379abe1a4e9d8da1252de24b57c5b2e2da3eaeb4e038253b80ec34cc6d9f,Jobseeker,true
2,M,None,M,3b87379abe1a4e9d8da1252de24b57c5b2e2da3eaeb4e038253b80ec34cc6d9f,Jobseeker,false
3,Clark,Kent,superman,1edbf6a97071f9b5a6141b97784059909dc6381ad95f94551698eceb6f3f1e3d,Jobseeker,true
4,Dr,Evil,Evil,6401d8d765a5ee46de4de00bf6efc47fbb79b10c1b0ae99c002e88a828495008,Jobseeker,true
5,Ozwald,Cobblepot,penguin,7d908646429a8c6335a088439c037afa5fa9cd1363fad233ef45198b4cb38d28,Recruiter,true
6,bruce,wayne,batman,7dd9275f4f510ff5938d89c15e6ba2fd99981e4da2becc48d9c0d28581be7b2e,Jobseeker,true
7,tony,stark,ironman,8e18bd239089f8c2292f1b0f1c25ddbd22926b07be9e26c000b7e08dc43ca744,Recruiter,false
8,ned,stark,ned,7da5a0a2d1da3d85b91a6343ab1ba6f587d5d1bfc8cc71dcc1127cce3fcfa83b,Recruiter,true
9,mickey,mouse,admin,825a99fc653ef8daec12ff9a18964788a8fff78ab566eaf7da83d236fa6ca1b6,Admin,true
10,Brad,Meyn,Cooldood,702a0fe755cb369c50bc339c4a2b2218ef35201ac77d6f296805eac45299106c,Jobseeker,true
