1,Thomas,Barker,Tbarker,password123,Recruiter
2,Gerard,Samson,Gsamson,mypass22,Jobseeker,Skill1,Skill2,Skill3
3,Brad,Meyn,Bradxor,thepaswrd,Recruiter,Skill1,Skill2,Skill3
4,Hoang,Nguyen,HNguyen,secure123,Recruiter

1,gerard,dekker,gerard,password,Jobseeker
1,erwerwer,werwerwer,werwerwe,werwerwer,Jobseeker
1,asasd,asdasda,asdasd,asdasdasda,Jobseeker
1,asdasd,asdasd,asdasdas,asdasdasd,Jobseeker
1,adasdasd,asdasdasd,asdasdasda,asdasdasda,Jobseeker
1,asdasdasd,asdasdasd,asdasdasd,asdasdasdasd,Jobseeker
1,adasdasd,asdasdasd,asdadasd,asdasdasd,Jobseeker
1,asdasdasd,asdasdasd,asdasdasd,asdasdasd,Jobseeker
1,werwerwe,werwerwer,werwrwer,werwerwer,Jobseeker
